found_country,latitude,country_code,address,used,alt_addr,no_result,country_name,continent,longitude,timestamp
True,42.301376,US,"Dorchester, , Suffolk County, MA, USA",0,,,USA,North America,-71.0612744,
True,46.603354,FR,", , , , France",0,,,France,Europe,1.8883335,
True,45.1875602,FR,"Grenoble, , , Isere, France",0,,,France,Europe,5.7357819,
True,44.2538589,FR,"Pont-Saint-Esprit, , , Gard, France",0,,,France,Europe,4.6456631,
True,42.2708804,US,"Easthampton, , Hampshire County, MA, USA",0,,,USA,North America,-72.6719579,
True,34.6677646,US,"Los Olivos, , Santa Barbara County, CA, USA",0,,,USA,North America,-120.114847,
True,34.9550817,US,", , , OK, USA",0,,,USA,North America,-97.2684063,
True,51.1088561,BE,"Heppen, , , , Belgium",0,,,Belgium,Europe,5.2275686,
True,42.3544455,US,"Near Boston, , Suffolk County, MA, USA",0,,,USA,North America,-70.9788771,
True,,,"Bequia, , , , West Indies",0,,True,,,,1767227756.6813786
True,41.6499298,US,"Centerville, , Barnstable County, MA, USA",0,,,USA,North America,-70.3485753,
True,41.4899827,US,"Newport, , Newport County, RI, USA",0,,,USA,North America,-71.3137707,
True,40.3347968,US,"Gladwyne, , Unk County, PA, USA",0,,,USA,North America,-79.8367056,
True,39.1670396,US,"Bloomington, , Monroe County, IN, USA",0,,,USA,North America,-86.5342881,
True,42.4605189,US,"Concord, , Middlesex County, MA, USA",0,,,USA,North America,-71.3488963,
True,40.8514971,US,"East Hampton, , Long Island, NY, USA",0,,,USA,North America,-73.0994297,
True,38.6918005,GR,"Skorpios, , , , Greece",0,,,Greece,Europe,20.7423991,
True,42.3588336,US,"Boston, , Suffolk County, MA, USA",0,,,USA,North America,-71.0578303,
True,42.3652576,US,"Watertown, , Middlesex County, MA, USA",0,,,USA,North America,-71.1843234,
