country_code,found_country,longitude,latitude,address,country_name,alt_addr,continent,timestamp,used,no_result
GB,True,0.0971228,53.1731896,"Spilsby, Lincolnshire",United Kingdom,,Europe,,0,
GB,True,-2.6501745,56.0565173,Tantallon Castle,United Kingdom,,Europe,,0,
CA,True,-103.4187459,50.7461084,Abernethy,Canada,,North America,,0,
GB,True,-0.1265398,51.5004439,Westminster,United Kingdom,,Europe,,0,
GB,True,-3.5795071,56.4156881,Methven,United Kingdom,,Europe,,0,
AU,True,115.8605784,-31.9558967,"St John's Monastery, Perth",Australia,,Oceania,,0,
GB,True,-4.1140518,56.7861112,"Carthusian Abbey of St John, Perth, Pethshire, Scotland",Scotland,,Europe,,0,
GB,True,-3.4303103,56.3958757,"Perth Abbey, Perth, Perth and Kinross, Scotland",Scotland,,Europe,,0,
FR,True,1.0939658,49.4404591,Rouen,France,,Europe,,0,
,True,,,Rouen Cathedral,,,,1767558513.958512,0,True
GB,True,-0.0788246,51.4975728,Bermondsey Abbey,United Kingdom,,Europe,,0,
GB,True,-2.1270083,55.6102604,Flodden,United Kingdom,,Europe,,0,
GB,True,-3.39916,56.4204776,Scone,United Kingdom,,Europe,,0,
GB,True,-0.0766986,51.5098481,"Tower Hill, London",United Kingdom,,Europe,,0,
GB,True,-1.205039,50.7315258,Quarr Abbey,United Kingdom,,Europe,,0,
,True,,,"""Pasmer's Place"", St Sithes Lane",,,,1767558520.7437682,0,True
GB,True,-0.0854519,51.5148988,"Austin Friars, London",United Kingdom,,Europe,,0,
GB,True,-2.7540658,52.707755,Shrewsbury,United Kingdom,,Europe,,0,
GB,True,1.3415864,52.2220579,"Framlingham, Suffolk",United Kingdom,,Europe,,0,
GB,True,-0.127391,51.499399,"Chapel of St Erasmus, Westminster Abbey",United Kingdom,,Europe,,0,
GB,True,-0.6040419,51.4837886,Windsor,United Kingdom,,Europe,,0,
GB,True,-1.542541,52.5014196,"Astley, Warwickshire",United Kingdom,,Europe,,0,
GB,True,-0.0825463,51.5263713,"Bath Place, London",United Kingdom,,Europe,,0,
GB,True,-0.2273878,51.7587179,Bishop's Hatfield,United Kingdom,,Europe,,0,
CN,True,104.999927,35.000074,Sheen,China,,Asia,,0,
GB,True,-2.7188627,54.6539442,Brougham Castle,United Kingdom,,Europe,,0,
GB,True,-2.0160287,53.9618497,"Skipton, Yorkshire",United Kingdom,,Europe,,0,
GB,True,-0.2537791,51.5460558,"Cleveland Row, Middlesex",United Kingdom,,Europe,,0,
GB,True,-1.2191206,52.7896379,"Bradgate, Leicestershire",United Kingdom,,Europe,,0,
