found_country,used,continent,address,country_name,latitude,alt_addr,country_code,longitude
True,0,North America,"Jefferson, Kentucky, USA",USA,38.1787175,,US,-85.664528
True,0,North America,"Owensboro, Daviess, Kentucky, USA",USA,37.7742152,,US,-87.1133304
True,0,North America,"Russellville, Franklin, Alabama, USA",USA,34.5042652,,US,-87.7332823
True,0,North America,"Petersburg, Independent Cities, Virginia, USA",USA,37.1232245,,US,-78.4927721
True,0,North America,"Phoenix, Maricopa, Arizona, USA",USA,33.4484367,,US,-112.074141
True,0,North America,"Scottsdale, Maricopa, Arizona, USA",USA,33.4942189,,US,-111.926018
True,0,North America,"Great Barrington, Berkshire, Massachusetts, USA",USA,42.1939364,,US,-73.362773
True,0,North America,"Pittsfield, Berkshire, Massachusetts, USA",USA,42.4484778,,US,-73.2541069
True,0,North America,"Orient, Suffolk, New York, USA",USA,41.1372575,,US,-72.2795773
True,0,North America,"Manhattan, New York, New York, USA",USA,40.7579554,,US,-73.9855319
True,0,North America,"Galesburg, Knox, Illinois, USA",USA,40.9475652,,US,-90.3712169
True,0,Europe,"Galty, Knockweaddown, Ireland",Ireland,52.865196,,IE,-7.9794599
True,0,North America,"St Joseph, Andrew, Missouri, USA",USA,40.115276,,US,-94.8239361
True,0,North America,"St Marys, Elk, Pennsylvania, USA",USA,41.4280432,,US,-78.5611275
True,0,North America,"Los Angeles, Los Angeles, California, USA",USA,34.0536909,,US,-118.242766
True,0,North America,"Hempstead, Nassau, New York, USA",USA,40.6736812,,US,-73.6190736
True,0,North America,"Cape May, New Jersey, USA",USA,39.1765386,,US,-74.8012119
True,0,North America,"Smith Cemetery, Greene, Pennsylvania, USA",USA,39.9128529,,US,-80.117838
True,0,North America,"Morgan Twp, Greene, Pennsylvania, USA",USA,39.956853,,US,-80.0968188
True,0,North America,"Springfield, Columbiana, Ohio, USA",USA,40.889855,,US,-80.6785145
True,0,North America,"Shrewsbury, Monmouth, New Jersey, USA",USA,40.3295547,,US,-74.0615285
True,0,North America,"Butlerville, Jennings, Indiana, USA",USA,39.0344983,,US,-85.5127432
True,0,North America,"Jefferson Twp, Fayette, Pennsylvania, USA",USA,40.054026,,US,-79.8336541
True,0,North America,"Whittier, Los Angeles, California, USA",USA,33.9749136,,US,-118.0338664
True,0,North America,"New Jersey, USA",USA,40.0757384,,US,-74.4041622
True,0,North America,"Burlington, New Jersey, USA",USA,39.9325409,,US,-74.7226665
True,0,North America,"West Branch, Cedar, Iowa, USA",USA,41.6720735,,US,-91.3459735
True,0,North America,"Massachusetts, USA",USA,42.3788774,,US,-72.032366
True,0,North America,"Mahoning, Ohio, USA",USA,40.9830133,,US,-80.7826416
True,0,North America,"Springfield, Mahoning, Ohio, USA",USA,40.9433676,,US,-80.5754631
True,0,North America,"Baltimore, Maryland, USA",USA,39.2908816,,US,-76.610759
True,0,North America,"Gunpowder, Harford, Maryland, USA",USA,39.4374278,,US,-76.3690732
True,0,North America,"Monmouth, New Jersey, USA",USA,40.2932319,,US,-74.1671114
True,0,North America,"Richland, Bucks, Pennsylvania, USA",USA,40.4454352,,US,-75.3139227
True,0,North America,"Columbiana, Ohio, USA",USA,40.7787016,,US,-80.7648602
True,0,North America,"Colerain, Belmont, Ohio, USA",USA,40.1259045,,US,-80.8086973
True,0,North America,"Elk Twp., Vinton, Ohio, USA",USA,39.2614972,,US,-82.474952
True,0,North America,"La Habra, Orange, California, USA",USA,33.9316066,,US,-117.9454867
True,0,North America,"Yorba Linda, Orange, California, USA",USA,33.8901096,,US,-117.8249705
True,0,North America,"Ely, White Pine, Nevada, USA",USA,39.2480588,,US,-114.891718
True,0,North America,"West Point, Orange, New York, USA",USA,41.3926455,,US,-73.9599242
True,0,North America,"Muncie, Delaware, Indiana, USA",USA,40.1936892,,US,-85.3865271
True,0,North America,"Smith Twp, Washington, Pennsylvania, USA",USA,40.369102,,US,-80.3668343
True,0,North America,"Mount Pleasant, Vinton, Ohio, USA",USA,39.3928463,,US,-82.4568223
True,0,North America,"Swan, Vinton, Ohio, USA",USA,39.3360225,,US,-82.4692821
True,0,North America,"New Plymouth, Vinton, Ohio, USA",USA,39.3847914,,US,-82.3962649
True,0,North America,"Hocking, Ohio, USA",USA,39.4644491,,US,-82.5469722
True,0,North America,"Vinton, Ohio, USA",USA,39.2744355,,US,-82.4740302
True,0,North America,"Washington, Washington, Pennsylvania, USA",USA,40.1709768,,US,-80.2454528
True,0,North America,"Gettysburg, Adams, Pennsylvania, USA",USA,39.8308973,,US,-77.231012
True,0,North America,"McArthur, Vinton, Ohio, USA",USA,39.2464596,,US,-82.4784898
