found_country,country_name,used,longitude,continent,timestamp,country_code,latitude,address,alt_addr,no_result
True,Ireland,0,-7.9794599,Europe,,IE,52.865196,"Glenn Mama, Ireland",,
True,Ireland,0,-6.2866677,Europe,,IE,53.4065148,"County Dublin, Ireland",,
True,Ireland,0,-6.538156,Europe,,IE,53.168934,"Kildare, Naas, County Wicklow, Ireland",,
True,France,0,-0.5733654,Europe,,FR,48.9536845,"Calvados, Basse-Normandie, France",,
True,Wales,0,-4.3319194,Europe,,GB,53.2782258,"of Llandegfan, Dindaethwy, Anglesey, Wales",,
True,Wales,0,-3.3988831,Europe,,GB,51.4470646,"Glamorgan, Wales",,
True,Wales,0,-3.000007,Europe,,GB,51.6666717,"Battle of Pen Co, Gwent, Monmouthshire, Wales",,
True,England,0,-3.6607788,Europe,,GB,50.7241405,"Devon, England",,
True,Wales,0,-4.9144858,Europe,,GB,51.6754422,"Pembroke, Pembrokeshire, Wales",,
True,France,0,2.7247515,Europe,,FR,50.1024606,"Picardy, France",,
True,Wales,0,-3.962134,Europe,,GB,52.0613734,"Gwlad, Carmarthenshire, Wales",,
True,Wales,0,-3.962134,Europe,,GB,52.0613734,"Deheubarth, Gwlad, Carmarthenshire, Wales",,
True,Wales,0,-3.73893,Europe,,GB,52.2928116,"Dynevor Castle, Deheubarth, Wales",,
True,Wales,0,-3.000007,Europe,,GB,51.6666717,"Gwent, Wales",,
True,Wales,0,-3.73893,Europe,,GB,52.2928116,"Deheubarth, Wales",,
True,Wales,0,-4.3478711,Europe,,GB,53.2781603,"West Wales, Wales",,
True,Wales,0,-4.7553455,Europe,,GB,51.9112449,"Dynevor Castle, Llandilo, Pembrokeshire, Wales",,
True,Wales,0,-3.4649973,Europe,,GB,52.6152731,"Llanwnog, Montgomeryshire, Wales",,
True,Wales,0,-3.4649973,Europe,,GB,52.6152731,"Trelystan, Montgomeryshire, Wales",,
True,Wales,0,-4.7553455,Europe,,GB,51.9112449,"Llandilo, Pembrokeshire, Wales",,
True,United Kingdom,0,-3.3988831,Europe,,GB,51.4470646,"Llanilid, Glamorgan, Wales, United Kingdom",,
True,France,0,2.9906764,Europe,,FR,49.8031514,"Y, Somme, Picardie, France",,
True,,1,-4.6988756,,,NONE,54.2266524,St Patrick's Isle,,
True,Ireland,0,-6.2543853,Europe,,IE,53.3438434,"Dublin, Dublin, Ireland",,
True,Scotland,0,-6.6471487,Europe,,GB,58.1221945,"Sudreyjar (Isles of the Sea), Hebrides, Scotland",,
True,Italy,0,12.4829321,Europe,,IT,41.8933203,"Rome, Lazio, Italy",,
True,Wales,0,-3.73893,Europe,,GB,52.2928116,"Maelor Gymraeg, Wales",,
True,Wales,0,-3.3553352,Europe,,GB,52.32715,"Powys, Wales",,
True,England,0,-3.035703,Europe,,GB,52.7841649,"Maesbrook, Shropshire, England",,
True,Wales,0,-3.4649973,Europe,,GB,52.6152731,"Powys, Montgomeryshire, Wales",,
True,Wales,0,-4.0188008,Europe,,GB,51.876822,"Dinefwr Castle, Sir Gaerfyrddin, Wales",,
True,Wales,0,-3.73893,Europe,,GB,52.2928116,"Gwlad Morgan, Wales",,
True,Wales,0,-3.1402189,Europe,,GB,53.2165096,"Flintshire, Wales",,
True,Wales,0,-3.2328344,Europe,,GB,53.1783548,"Cilcain, Flintshire, Wales",,
True,Wales,0,-3.1402189,Europe,,GB,53.2165096,"Llys Edwin. Llaneurguin, Flintshire, Wales",,
True,Wales,0,-3.73893,Europe,,GB,52.2928116,"Cynric or Ednowain, Wales",,
True,Wales,0,-3.3988831,Europe,,GB,51.4470646,", Glamorgan, , Wales",,
True,Wales,0,-3.008586,Europe,,GB,52.2747215,", Radnorshire, , Wales",,
True,Wales,0,-2.8333331,Europe,,GB,51.7501058,"Monmouthshire, Wales",,
True,Wales,0,-3.1402189,Europe,,GB,53.2165096,"Deheubarth, Flintshire, Wales",,
True,Wales,0,-3.4178289,Europe,,GB,53.1853776,"Deheubarth, Denbigh, Wales",,
True,Wales,0,-4.6849115,Europe,,GB,51.8188525,"of Llan-gan West, Efelffre, Pembrokeshire, Wales",,
True,Wales,0,-3.4649973,Europe,,GB,52.6152731,"Castle, Montgomeryshire, Wales",,
True,Wales,0,-2.9208857,Europe,,GB,53.178404,"Rhuddlan, Flintshire, Wales",,
True,Wales,0,-3.4686159,Europe,,GB,53.1772309,"Pentrefoelas, Denbighshire, Wales",,
True,Wales,0,-4.4643722,Europe,,GB,53.1915038,"Aberffraw, Anglesey, Wales",,
True,United Kingdom,0,-2.7779892,Europe,,GB,53.6674573,"Croston, Lancashire, England, United Kingdom",,
True,United Kingdom,0,-4.25,Europe,,GB,57.3333333,"Highlands, Highland, Scotland, United Kingdom",,
True,Scotland,0,-6.1656723,Europe,,GB,55.7585802,"Islay, Scotland",,
