continent,used,longitude,no_result,alt_addr,found_country,address,timestamp,country_code,latitude,country_name
Europe,0,-3.5452625,,,True,"Abbaye Sainte-Croix, Quimperlé, 29233, Finistère, Bretagne, BRETAGNE",,FR,47.8724885,France
Europe,0,-4.1580155,,,True,", La Martyre, 29144, Finistère, Bretagne, BRETAGNE",,FR,48.4483714,France
Europe,0,-2.1003629,,,True,"Monastère, Plélan-le-Grand, 35223, Ille-et-Vilaine, Bretagne, FRANCE",,FR,48.0023864,France
Europe,0,-3.5711477,,,True,", Carhaix, 29024, Finistère, Bretagne, BRETAGNE",,FR,48.2764997,France
Europe,0,1.0662256,,,True,", Vendôme, 41269, Loir-et-Cher, Centre, FRANCE",,FR,47.7934453,France
Europe,0,-1.9269063,,,True,", Talensac, 35331, Ille-et-Vilaine, Bretagne, BRETAGNE",,FR,48.1092798,France
Europe,0,1.1646335,,,True,", Louviers, 27375, Eure, Normandie, FRANCE",,FR,49.2157245,France
Europe,0,-1.1137055,,,True,", Saint-Lô, 50502, Manche, Normandie, BRETAGNE",,FR,49.1009382,France
Europe,0,-0.5800364,,,True,", Bordeaux, 33063, Gironde, Nouvelle-Aquitaine, FRANCE",,FR,44.841225,France
Europe,0,-1.6636947,,,True,", Saint-Jean-de-Luz, 64483, Pyrénées-Atlantiques, Nouvelle-Aquitaine, FRANCE",,FR,43.387219,France
Europe,0,4.3628851,,,True,", Châlons, 51108, Marne, Grand Est, FRANCE",,FR,48.9566218,France
Europe,0,-1.6800198,,,True,"Chapelle des Jacobins, Rennes, 35238, Ille-et-Vilaine, Bretagne, FRANCE",,FR,48.1113387,France
Europe,0,0.40622,,,True,"Château, Langeais, 37123, Indre et Loire, Centre-Val de Loire, FRANCE",,FR,47.3246763,France
Europe,0,1.7857219,,,True,", Ormeteau-Ferré, , , , FRANCE",,FR,49.2840887,France
Europe,0,1.4487381,,,True,", Chartres, , , Normandie, ",,FR,48.4343626,France
Europe,0,-0.7323696,,,True,", Chemillé, , , , ",,FR,47.2300533,France
Europe,0,-1.6734505,,,True,"Abbaye Saint-Georges, Rennes, 35238, Ille-et-Vilaine, Bretagne, FRANCE",,FR,48.1117766,France
,0,,True,,True,", Heidelberg, 08221000, District de Karlsruhe, Baden-Württemberg, ALLEMAGNE",1767475121.188556,,,
,0,,True,,True,", Metz, 57463, Mozelle, Grand Est, FRANCE",1767475121.194779,,,
